seqnames,start,end,width,strand,pileup_macs2,score_ChIPSP,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,symbol,pileup,score,Rank
chr12,53350000,53375000,25001,*,189.34,0.691172893,3856,53290971,53343650,-,upstream,-6350,6350,NearestLocation,KRT8,189.34,0.691172893,1
chr12,53350000,53375000,25001,*,189.34,0.691172893,3856,53290971,53343650,-,upstream,-6350,6350,NearestLocation,KRT8,39.5,-0.072381937,1
chr12,53350000,53375000,25001,*,189.34,0.691172893,3856,53290971,53343650,-,upstream,-6350,6350,NearestLocation,KRT8,16.3,-0.190604522,1
chr16,10825000,10830000,5001,*,119.75,0.559111226,4682,10837698,10863208,+,upstream,-12698,7698,NearestLocation,NUBP1,119.75,0.559111226,2
chr10,123690000,123700000,10001,*,206.27,0.449821925,11101,123502625,123688217,-,upstream,-1783,1783,NearestLocation,ATE1,206.27,0.449821925,3
chr8,134220000,134230000,10001,*,97.81,0.444180821,8840,134203282,134243932,+,inside,16718,13932,NearestLocation,CCN4,97.81,0.444180821,4
chr8,133880000,133890000,10001,*,97.81,0.439054034,7038,133879205,134147143,+,inside,795,795,NearestLocation,TG,97.81,0.439054034,5
chr8,133880000,133890000,10001,*,97.81,0.439054034,7038,133879205,134147143,+,inside,795,795,NearestLocation,TG,22.57,0.060364549,5
chr9,73035000,73040000,5001,*,94.04,0.424288273,687,72999513,73029573,-,upstream,-5427,5427,NearestLocation,KLF9,94.04,0.424288273,6
chr9,73035000,73040000,5001,*,94.04,0.424288273,687,72999513,73029573,-,upstream,-5427,5427,NearestLocation,KLF9,12.54,0.008980486,6
chr9,73035000,73040000,5001,*,94.04,0.424288273,687,72999513,73029573,-,upstream,-5427,5427,NearestLocation,KLF9,13.79,0.015350238,6
chr9,73035000,73040000,5001,*,94.04,0.424288273,687,72999513,73029573,-,upstream,-5427,5427,NearestLocation,KLF9,14.42,0.018560592,6
chr3,120140000,120145000,5001,*,92.79,0.421533306,11167,120113061,120169918,-,inside,29918,24918,Overlapping,FSTL1,92.79,0.421533306,7
chr3,120140000,120145000,5001,*,92.79,0.421533306,406975,120114515,120114576,-,upstream,-25424,25424,NearestLocation,MIR198,92.79,0.421533306,7
chr3,119960000,119965000,5001,*,92.79,0.41599139,165829,119884328,119963325,-,overlapStart,3325,1675,NearestLocation,GPR156,92.79,0.41599139,8
chr3,42275000,42280000,5001,*,89.65,0.405133786,885,42299318,42307662,-,downstream,32662,19318,NearestLocation,CCK,14.42,0.021776672,9
chr3,42275000,42280000,5001,*,89.65,0.405133786,885,42299318,42307662,-,downstream,32662,19318,NearestLocation,CCK,89.65,0.405133786,9
chr5,15010000,15020000,10001,*,90.91,0.399706285,56172,14704909,14871887,-,upstream,-138113,138113,NearestLocation,ANKH,90.91,0.399706285,10
chr12,116350000,116360000,10001,*,94.04,0.390480419,693205,116586365,116586459,-,downstream,236459,226365,NearestLocation,MIR620,94.04,0.390480419,11
chr3,42270000,42280000,10001,*,89.65,0.388047324,885,42299318,42307662,-,downstream,37662,19318,NearestLocation,CCK,14.42,0.00469021,12
chr3,42270000,42280000,10001,*,89.65,0.388047324,885,42299318,42307662,-,downstream,37662,19318,NearestLocation,CCK,89.65,0.388047324,12
chr11,71045000,71050000,5001,*,121,0.375069855,399923,71116792,71134400,-,downstream,89400,66792,NearestLocation,ACTE1P,121,0.375069855,13
chr3,188985000,188990000,5001,*,79.62,0.354580424,100874027,188956475,188958383,-,upstream,-26617,26617,NearestLocation,TPRG1-AS2,79.62,0.354580424,14
chr3,188985000,188990000,5001,*,79.62,0.354580424,285386,188665003,189041271,+,inside,319997,51271,Overlapping,TPRG1,79.62,0.354580424,14
chr3,188980000,188990000,10001,*,79.62,0.35343538,285386,188665003,189041271,+,inside,314997,51271,Overlapping,TPRG1,79.62,0.35343538,15
chr3,188980000,188990000,10001,*,79.62,0.35343538,100874027,188956475,188958383,-,upstream,-21617,21617,NearestLocation,TPRG1-AS2,79.62,0.35343538,15
chr7,30830000,30840000,10001,*,80.25,0.353426838,84182,30811033,30932002,+,inside,18967,18967,NearestLocation,MINDY4,10.66,-0.001189957,16
chr7,30830000,30840000,10001,*,80.25,0.353426838,84182,30811033,30932002,+,inside,18967,18967,NearestLocation,MINDY4,80.25,0.353426838,16
